Date,temparature_C,Humidity,NLDC Demand
29.04.2021,28.94666667,62.55708333,432
30.04.2021,28.84166667,66.10166667,405.5
01.05.2021,28.86375,65.32083333,352.6666667
02.05.2021,27.87958333,72.01,336.25
03.05.2021,25.67666667,82.08625,326.25
04.05.2021,24.93666667,82.8125,317.375
05.05.2021,25.33166667,76.53041667,979.625
06.05.2021,25.28916667,76.20041667,1058.125
07.05.2021,26.30458333,76.93708333,1113.625
08.05.2021,25.70583333,81.41916667,1197
09.05.2021,26.44625,79.14458333,1117.416667
10.05.2021,26.41166667,79.2025,1101.5
11.05.2021,26.42291667,79.75125,924.5416667
12.05.2021,25.84375,80.50833333,990.8333333
13.05.2021,25.86083333,84.66416667,1056.958333
14.05.2021,25.35208333,89.94791667,1063.125
15.05.2021,27.40708333,81.90708333,1061.666667
16.05.2021,27.80291667,81.43958333,1088.041667
17.05.2021,28.46458333,82.25833333,1219.75
18.05.2021,28.39291667,86.10458333,1187.583333
19.05.2021,28.44,87.54458333,1260.5
20.05.2021,28.41625,88.84291667,1350.5
21.05.2021,27.69375,89.47833333,1296.75
22.05.2021,27.91916667,89.71125,1353.958333
23.05.2021,29.99,77.89958333,1434.458333
24.05.2021,29.89791667,78.45291667,1058.375
25.05.2021,29.3525,82.95625,1058.375
26.05.2021,28.66458333,82.39458333,924.0833333
27.05.2021,28.5175,71.33125,1018.5
28.05.2021,29.33458333,72.89041667,1219.083333
29.05.2021,28.55,81.16333333,1305.041667
30.05.2021,28.3825,86.59083333,1347.333333
31.05.2021,27.38791667,92.45875,1160.833333
01.06.2021,27.50875,90.22583333,344.625
02.06.2021,26.69583333,92.00541667,368.7916667
03.06.2021,27.88,90.06166667,395.5833333
04.06.2021,27.78958333,92.94791667,373.625
05.06.2021,27.26125,94.54666667,286.9166667
06.06.2021,27.895,91.94791667,329.2083333
07.06.2021,27.86833333,91.39916667,351
08.06.2021,26.99916667,93.70791667,369.4583333
09.06.2021,26.80125,88.09666667,413.1666667
10.06.2021,28.03375,80.01291667,404.2083333
11.06.2021,27.71333333,86.37,384.9583333
12.06.2021,29.29416667,83.36458333,402.5416667
13.06.2021,28.95458333,84.88541667,435.875
14.06.2021,27.85291667,89.51833333,434.2916667
15.06.2021,28.50583333,86.52375,424.0833333
16.06.2021,28.13583333,85.48708333,414.5
17.06.2021,27.92083333,87.85125,411.375
18.06.2021,27.66541667,83.4325,364.3333333
19.06.2021,26.36291667,90.05708333,349.3333333
20.06.2021,26.23541667,91.34541667,348.625
21.06.2021,26.87708333,88.47208333,374.5416667
22.06.2021,27.01541667,89.18791667,398.8333333
23.06.2021,27.92166667,87.61166667,413.8333333
24.06.2021,27.45875,89.90375,401.1666667
25.06.2021,27.42458333,89.26916667,401.0833333
26.06.2021,27.78708333,89.65333333,386.5833333
27.06.2021,27.77291667,90.09375,396.625
28.06.2021,27.05833333,93.41375,365.625
29.06.2021,27.35958333,93.59875,340.5416667
30.06.2021,28.03041667,93.30208333,302.9166667
01.07.2021,27.5775,90.83541667,306.375
02.07.2021,26.74416667,91.60916667,302.375
03.07.2021,27.36083333,92.38791667,325.375
04.07.2021,27.85833333,88.655,350
05.07.2021,27.79708333,90.04708333,380.1666667
06.07.2021,28.00041667,90.59625,380.75
07.07.2021,27.56791667,94.07375,380.1666667
08.07.2021,28.45583333,88.27458333,382.5833333
09.07.2021,28.75291667,86.58375,409.0833333
10.07.2021,27.73458333,87.95666667,400.5833333
11.07.2021,27.71875,89.39375,410.4166667
12.07.2021,29.59083333,80.86458333,427.4583333
13.07.2021,27.7325,89.9425,386.4166667
14.07.2021,27.35666667,90.63833333,391.3333333
15.07.2021,28.05583333,87.64583333,416.7083333
16.07.2021,26.64625,92.41291667,400.0416667
17.07.2021,27.77291667,91.09375,381.6666667
18.07.2021,27.78833333,91.34583333,409.0416667
19.07.2021,27.90916667,89.25708333,398.5
20.07.2021,28.26333333,86.78375,393.875
21.07.2021,29.11541667,86.72875,386
22.07.2021,30.03416667,83.12833333,382.6666667
23.07.2021,28.39041667,89.08041667,378.7083333
24.07.2021,28.4,89.275,390.375
25.07.2021,28.3075,90.35875,397.9166667
26.07.2021,29.4175,83.83333333,423
27.07.2021,30.21166667,82.83625,425.9583333
28.07.2021,29.10583333,84.865,394.125
29.07.2021,27.92208333,88.21291667,389.9166667
30.07.2021,27.94208333,89.54583333,380.1666667
31.07.2021,27.34708333,92.23333333,362.5833333
01.08.2021,28.10083333,89.815,384.625
02.08.2021,27.58666667,91.51666667,387.75
03.08.2021,28.44083333,87.23166667,415.7916667
04.08.2021,29.3,84.39458333,401.375
05.08.2021,30.81875,77.04875,405.5
06.08.2021,28.92916667,85.675,410.0416667
07.08.2021,27.29625,92.01291667,398.2083333
08.08.2021,28.23208333,91.37291667,397.5833333
09.08.2021,27.92458333,91.18958333,395.2083333
10.08.2021,27.88208333,93.04458333,397
11.08.2021,28.29083333,91.85375,395.9166667
12.08.2021,26.60833333,94.65375,405.7083333
13.08.2021,27.17458333,92.76291667,383.4166667
14.08.2021,27.78666667,91.57916667,369.9583333
15.08.2021,27.7825,92.78333333,377.0416667
16.08.2021,27.64,89.19375,397.6666667
17.08.2021,27.58208333,89.77875,377.8333333
18.08.2021,26.99166667,92.86625,375.4166667
19.08.2021,26.52666667,93.47125,379
20.08.2021,27.07791667,91.20541667,367.9166667
21.08.2021,27.02583333,90.54083333,388.25
22.08.2021,26.935,92.07541667,408.2083333
23.08.2021,27.40875,91.94458333,383.3333333
24.08.2021,27.44666667,92.33666667,368.8333333
25.08.2021,27.3725,93.57333333,385.1666667
26.08.2021,27.5025,92.04375,398.2916667
27.08.2021,26.60708333,88.88166667,406.5
28.08.2021,27.50708333,87.19958333,419.7083333
29.08.2021,27.29625,87.47416667,420.5416667
30.08.2021,26.67375,90.76041667,400.2083333
31.08.2021,27.25916667,89.46291667,434.9166667
01.09.2021,27.04458333,93.87208333,432.8333333
02.09.2021,28.21791667,86.2525,444.5833333
03.09.2021,28.11625,85.02541667,450.1666667
04.09.2021,28.805,80.64583333,469.2916667
05.09.2021,29.61416667,80.645,474.7916667
06.09.2021,29.22166667,85.78125,230.7083333
07.09.2021,27.55708333,86.63708333,436.625
08.09.2021,27.35875,89.07,455.125
09.09.2021,28.73208333,83.71208333,452.7916667
10.09.2021,27.94041667,88.27916667,454.2083333
11.09.2021,28.13625,86.64375,473.0416667
12.09.2021,29.18666667,82.52666667,471.7083333
13.09.2021,28.84541667,84.34,475.5
14.09.2021,28.38166667,85.0625,472.0833333
15.09.2021,29.1425,85.17708333,488.1666667
16.09.2021,28.0425,89.82333333,434.9166667
17.09.2021,27.64375,86.56791667,418.0416667
18.09.2021,26.33458333,93.54958333,395.5416667
19.09.2021,27.25291667,87.50333333,415.0833333
20.09.2021,26.66708333,91.4925,438.875
21.09.2021,26.23583333,91.13541667,419.9166667
22.09.2021,26.53791667,89.13458333,434.875
23.09.2021,27.65875,81.86541667,457.125
24.09.2021,28.83875,80.5175,461.625
25.09.2021,28.50166667,84.29208333,456.375
26.09.2021,29.33791667,80.49916667,472.5416667
27.09.2021,29.04708333,78.89375,475.4583333
28.09.2021,26.87,88.81,535
29.09.2021,26.93291667,86.78125,427.0416667
30.09.2021,27.33958333,87.015,461.2083333
01.10.2021,27.48833333,85.13083333,448.7916667
02.10.2021,27.30625,83.945,408
03.10.2021,26.88458333,91.93583333,351.0833333
04.10.2021,26.28041667,92.44166667,353
05.10.2021,26.81333333,87.18541667,347.8333333
06.10.2021,27.07416667,81.54,398.9166667
07.10.2021,27.32875,83.70875,426.125
08.10.2021,27.23708333,87.87291667,428.7916667
09.10.2021,27.395,85.93583333,431
10.10.2021,28.28,83.85541667,429
11.10.2021,29.17208333,80.76833333,475.5
12.10.2021,29.92083333,79.46208333,501.2083333
13.10.2021,29.44875,81.61875,494.1666667
14.10.2021,30.45791667,76.41375,493.125
15.10.2021,30.40708333,74.44625,472.75
16.10.2021,28.20541667,78.83166667,464.9583333
17.10.2021,27.27791667,81.57,461.9583333
18.10.2021,26.54208333,82.05166667,423.4583333
19.10.2021,25.92875,91.50041667,389.9166667
20.10.2021,25.82416667,93.25583333,364.5
21.10.2021,24.86541667,92.15125,371
22.10.2021,22.7025,82.68541667,359.875
23.10.2021,23.8175,79.16916667,334.0833333
24.10.2021,24.37625,82.42875,351.375
25.10.2021,24.01041667,81.30375,355.0833333
26.10.2021,23.48916667,79.53666667,356.2083333
27.10.2021,24.14041667,77.95291667,359.2083333
28.10.2021,24.50958333,80.19375,366.5833333
29.10.2021,25.6075,80.8225,363.5416667
30.10.2021,25.06,79.14125,364.1666667
31.10.2021,22.93708333,80.14583333,350.75
01.11.2021,21.235,74.22666667,304.875
02.11.2021,20.82416667,71.43958333,291.5416667
03.11.2021,21.68791667,66.61958333,288
04.11.2021,21.86041667,77.81166667,281.7083333
05.11.2021,20.95541667,78.13916667,266.6666667
06.11.2021,20.50416667,74.21833333,267.2916667
07.11.2021,21.02583333,74.77791667,268.9583333
08.11.2021,22.00791667,73.77833333,274.3333333
09.11.2021,22.36875,81.98208333,280.9583333
10.11.2021,22.53541667,83.35666667,296
11.11.2021,22.115,82.62,293.2083333
12.11.2021,21.69708333,84.46,285.0833333
13.11.2021,21.19166667,86.2975,273.9166667
14.11.2021,20.87625,83.33625,273.625
15.11.2021,21.83333333,89.1075,271.3333333
16.11.2021,22.78041667,84.16916667,272.2916667
17.11.2021,21.38083333,76.12833333,269.5416667
18.11.2021,20.44125,71.8725,269.2083333
19.11.2021,20.67291667,75.10666667,255.2916667
20.11.2021,20.65125,82.79375,256.3333333
21.11.2021,21.12375,86.20875,259.2083333
22.11.2021,21.06625,89.14625,260.5833333
23.11.2021,21.43083333,85.06541667,262.1666667
24.11.2021,20.28083333,75.55458333,256.75
25.11.2021,18.85083333,72.44583333,255.875
26.11.2021,18.07083333,72.96958333,242.375
27.11.2021,19.39625,68.35416667,242.5
28.11.2021,19.98458333,72.43375,238.7916667
29.11.2021,19.79083333,72.45958333,248.875
30.11.2021,20.40208333,73.80541667,248.4166667
01.12.2021,21.27916667,74.20958333,251.7083333
02.12.2021,21.30375,76.30125,249.375
03.12.2021,21.285,81.97083333,243
04.12.2021,21.44,84.41416667,242.7916667
05.12.2021,22.00041667,84.67416667,245.2916667
06.12.2021,20.63875,90.65125,231
07.12.2021,21.61541667,92.05208333,243.7083333
08.12.2021,22.17041667,82.5675,253.5416667
09.12.2021,21.64291667,82.16083333,253.2083333
10.12.2021,20.16208333,77.74458333,247.7916667
11.12.2021,19.56875,71.53416667,236.7083333
12.12.2021,18.58875,72.88458333,241.9583333
13.12.2021,18.31458333,73.01333333,243.9583333
14.12.2021,18.61416667,79.255,243.2916667
15.12.2021,17.79708333,79.30791667,246.5833333
16.12.2021,17.955,75.42708333,236.75
